INDE_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,MEDIA_INDICADORES_2020,STD_INDICADORES_2020,MIN_INDICADORES_2020,MAX_INDICADORES_2020,RATIO_IDA_IAN,RATIO_IEG_IPS,DIFF_INDE_MEDIA,PEDRA_2020_NORM,PONTO_VIRADA_2020_NORM,INSTITUICAO_ENSINO_ALUNO_2020_NORM,FASE_TURMA_2020_NORM,IDADE_ALUNO_2020,ANOS_PM_2020,FAIXA_ETARIA,RATIO_ANOS_PM_IDADE,RISCO_DEFASAGEM
6.908335000000001,9.000020000000001,6.5,4.375,7.5,6.875,7.916665,5.0,6.738097857142857,1.6210313381503385,4.375,9.000020000000001,1.4999970000060001,1.4857108898036806,0.17023714285714409,agata,nao,escola publica,1m,12.0,2.0,1.0,0.16666652777789354,1
7.966668666666667,8.000020000000001,8.5,7.5,7.0,7.5,7.833333333333333,10.0,8.047621904761906,0.9799577250648549,7.0,10.0,0.6999993000007,1.133331822224237,-0.08095323809523869,ametista,nao,escola publica,1j,9.0,0.0,0.0,0.0,1
8.597919000000001,9.000020000000001,10.0,7.5,8.5,7.8125,7.333335,10.0,8.592265,1.119835825843086,7.333335,10.0,0.84999915000085,1.333331555557926,0.005654000000001602,topazio,nao,escola publica,0f,8.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,0
8.516877,9.16668,9.6,7.5,8.0,7.96875,7.66667,10.0,8.557442857142858,1.0089623300651396,7.5,10.0,0.7999992000008,1.2799982933356089,-0.040565857142858874,topazio,nao,escola publica,3b,13.0,0.0,1.0,0.0,0
8.450002,9.50002,10.0,7.5,10.0,7.5,7.5,5.0,8.14286,1.8192121528837695,5.0,10.0,1.9999960000080002,1.333331555557926,0.3071419999999989,ametista,nao,escola publica,0h,10.0,0.0,0.0,0.0,1
,,,,,,,,,,,,,,,desconhecido,desconhecido,desconhecido,desconhecido,,,,,1
6.8535425,7.91667,7.7,7.5,4.5,7.96875,7.8750025,5.0,6.9229175,1.4995998268295057,4.5,7.96875,0.8999982000036001,1.0266652977796031,-0.06937499999999996,agata,nao,escola publica,3l,14.0,0.0,2.0,0.0,1
6.448887666666667,7.91667,6.8,4.375,5.333333333333333,7.708333333333334,7.611103333333333,5.0,6.392062857142856,1.462689137293753,4.375,7.91667,1.0666645333376,1.5542821616407736,0.056824809523810416,agata,nao,escola publica,3h,14.0,2.0,2.0,0.1428570408163994,1
7.693335000000001,8.500020000000001,8.8,7.5,7.5,7.5,7.916665,5.0,7.5309550000000005,1.2319998808475323,5.0,8.8,1.4999970000060001,1.173331768890975,0.16238000000000063,ametista,nao,escola publica,1m,11.0,1.0,1.0,0.09090900826453795,1
